3,1.15E+18
3,458166
4,458166
5,458166
6,458166
7,458166
8,458166
9,458166
10,448118
11,421684
12,355221
13,265972
14,152138
15,105602
16,89829
17,82347
18,78199
19,73120
20,69232
21,66845
22,63990
23,62708
24,61313
25,59836
26,58967
27,58055
28,56770
29,56211
30,55666
31,55383
32,54859
33,53966
34,53593
35,53131
36,52758
37,52317
38,51811
39,51589
40,50964
41,50685
42,50454
43,49899
44,49654
45,49041
46,48903
47,48729
48,48357
49,48121
50,48056
51,47970
52,47787
53,47787
54,47582
55,47442
56,47442
57,47408
58,47251
59,47188
60,47122
47122,
